player_name,pitch_category,Pitches,Average Pitch Speed,Average Effective Pitch Speed,Average Spin Rate,Average Horizontal Break,Average Vertical Break,Corner %,BAA,SLGA,BABIPA,wOBAA
Cody Reed,Off-speed,215,90.4,91.1,2343.1,0.290,0.297,0.005,0.250,0.455,0.300,0.383
Cody Stashak,Fastball,123,91.9,91.4,2233.7,-0.545,1.582,0.008,0.242,0.455,0.269,0.331
Cody Stashak,Off-speed,100,82.4,81.9,2184.2, 0.571,0.475,0.010,0.143,0.286,0.222,0.185
Cole Sulser,Fastball,239,93.8,94.1,2409.0,-0.834,1.562,0.004,0.250,0.444,0.286,0.413
Cole Sulser,Off-speed,177,86.4,87.0,1959.8,-0.642,0.777,0.006,0.178,0.289,0.219,0.213
Colin Rea,Off-speed,145,85.7,86.2,2202.6,-0.154,0.221,0.007,0.250,0.444,0.241,0.321
Colten Brewer,Off-speed,498,88.4,88.5,2568.6,0.431,0.087,0.002,0.288,0.529,0.329,0.401
Corbin Burnes,Off-speed,985,91.7,92.3,2730.7,-0.164,0.652,0.001,0.176,0.252,0.287,0.249
Corey Knebel,Fastball,164,94.3,93.8,2395.6,-0.321,1.474,0.006,0.361,0.750,0.375,0.503
Corey Oswalt,Fastball,108,92.1,93.0,2160.9,-0.930,1.310,0.009,0.360,0.680,0.421,0.490
Corey Oswalt,Off-speed,115,87.3,88.3,1968.5,-0.550,0.386,0.009,0.185,0.481,0.158,0.297
Craig Kimbrel,Fastball,187,96.9,97.4,2266.2,-0.892, 1.182,0.005,0.206,0.471,0.278,0.373
Craig Kimbrel,Off-speed,113,86.0,86.4,2541.6, 0.915,-0.564,0.009,0.143,0.143,0.429,0.279
Craig Stammen,Off-speed,351,89.7,90.3,2178.3,-0.634,0.639,0.003,0.281,0.393,0.338,0.323
Cristian Javier,Fastball,560,92.2,91.6,2363.6,-0.582,1.508,0.002,0.208,0.442,0.195,0.327
Cristian Javier,Off-speed,329,79.8,79.2,2492.1, 0.577,0.244,0.003,0.153,0.306,0.190,0.235
Cy Sneed,Off-speed,336,89.4,88.8,2336.7,0.293,0.966,0.003,0.310,0.535,0.404,0.397
Dakota Bacus,Off-speed,225,86.7,85.7,2475.1,-0.106,0.165,0.004,0.298,0.404,0.325,0.362
Dakota Hudson,Fastball,134,92.6,92.4,2114.2,-0.408,0.800,0.007,0.079,0.079,0.091,0.119
Dakota Hudson,Off-speed,455,89.0,89.4,2216.8,-0.481,0.493,0.002,0.216,0.412,0.242,0.320
Dallas Keuchel,Off-speed,938,83.2,83.2,2029.0,0.572,0.538,0.001,0.221,0.290,0.261,0.254
Dan Altavilla,Fastball,170,97.3,96.1,2351.2,-0.772,1.242,0.006,0.226,0.516,0.263,0.385
Dan Altavilla,Off-speed,193,90.0,88.9,2607.9, 0.079,0.598,0.005,0.244,0.400,0.333,0.319
Dan Winkler,Off-speed,232,87.7,88.3,2463.4,0.244,0.501,0.004,0.212,0.385,0.229,0.303
Dane Dunning,Fastball,120,91.8,92.4,2193.8,-0.518,1.199,0.008,0.364,0.545,0.467,0.477
Dane Dunning,Off-speed,451,87.0,87.4,2084.2,-0.681,0.177,0.002,0.162,0.267,0.192,0.236
Daniel Bard,Fastball,168,97.1,97.2,2707.5,-0.665,0.921,0.006,0.250,0.375,0.360,0.334
Daniel Bard,Off-speed,236,90.5,90.1,2603.5,-0.339,0.187,0.004,0.226,0.321,0.282,0.309
Daniel Castano,Fastball,185,89.4,89.4,2243.9,0.302,0.945,0.005,0.302,0.434,0.319,0.352
Daniel Castano,Off-speed,289,81.9,81.9,2120.5,0.283,0.614,0.003,0.230,0.377,0.226,0.296
Daniel Hudson,Fastball,287,96.4,96.5,2340.8,-0.817,1.415,0.003,0.170,0.434,0.156,0.354
Daniel Mengden,Fastball,116,90.0,90.6,2218.2,-0.795,1.606,0.009,0.333,0.476,0.333,0.423
Daniel Mengden,Off-speed,115,81.7,82.0,2269.3, 0.056,0.183,0.009,0.250,0.500,0.300,0.358
Daniel Norris,Fastball,233,92.6,91.8,2443.6,0.427, 1.304,0.004,0.288,0.423,0.341,0.343
Daniel Norris,Off-speed,257,86.6,85.6,2003.9,0.444,-0.030,0.004,0.179,0.304,0.243,0.224
Daniel Ponce de Leon,Fastball,395,93.1,92.9,2354.5,-0.775, 1.551,0.003,0.205,0.538,0.229,0.373
Daniel Ponce de Leon,Off-speed,251,82.0,81.6,2505.4, 0.304,-0.478,0.004,0.163,0.233,0.212,0.280
Danny Duffy,Fastball,372,92.2,93.3,2173.3,0.501,1.515,0.003,0.239,0.435,0.266,0.341
Danny Duffy,Off-speed,571,83.5,84.4,2249.4,0.273,0.233,0.002,0.256,0.438,0.302,0.333
Darren O'Day,Fastball,120,86.0,87.0,2315.2,-0.932,0.802,0.008,0.087,0.217,0.083,0.266
