player_name,Pitches,Average Pitch Speed,Average Effective Pitch Speed,Average Spin Rate,Average Horizontal Break,Average Vertical Break,Corner %,SO,BAA,SLGA,BABIPA,wOBAA,mlb_id,salary,yearID
Hisashi Iwakuma,2530,84.58802371541502,84.03730382293763,2030.3599834299916,-0.6554545454545455,0.6771146245059289,3.952569169960474e-4,130,0.2822458270106222,0.45220030349013657,0.25273010920436817,0.3402266288951841,547874,10976096,2016
Homer Bailey,167,89.04790419161677,89.41556886227545,1946.3312883435583,-0.25389221556886227,0.858682634730539,0.005988023952095809,9,0.3333333333333333,0.3611111111111111,0.3333333333333333,0.3961904761904762,456701,18000000,2016
Ian Kennedy,3032,89.12572559366754,88.89524126455906,2305.781470292044,-0.8035620052770449,1.104551451187335,3.2981530343007914e-4,163,0.2357473035439137,0.4345146379044684,0.1932367149758454,0.3390371389270977,453178,7500000,2016
Ivan Nova,2076,89.30717726396917,87.4617399901137,2199.8848700967906,-0.803709055876686,0.6324181117533719,4.816955684007707e-4,111,0.28291814946619215,0.48576512455516013,0.24770642201834864,0.35821192052980133,467100,4100000,2016
J.A. Happ,2757,89.81994922016685,89.11369812706573,2295.2208333333333,0.7409865796155242,1.2088864708015958,3.627130939426913e-4,141,0.2301829268292683,0.36890243902439024,0.20657276995305165,0.30186111111111114,457918,10000000,2016
J.J. Hoover,414,88.45169082125604,87.31646489104116,2327.1256544502617,-0.16280193236714977,0.9857487922705314,0.0024154589371980675,15,0.34523809523809523,0.75,0.26666666666666666,0.50375,543331,1400000,2016
Jacob deGrom,2074,90.71745419479267,91.61054490413723,2246.179627601314,-0.5150433944069431,1.0196239151398265,4.8216007714561236e-4,124,0.2345679012345679,0.3374485596707819,0.21711899791231734,0.28143129770992364,594798,607000,2016
Jaime Garcia,2237,87.65181046043809,86.761673414305,2353.7122133832477,0.3388019669199821,0.6913276709879302,4.470272686633885e-4,132,0.266199649737303,0.4238178633975482,0.24144144144144145,0.3368690095846646,448802,11500000,2016
Jake Arrieta,2697,91.68216536892844,91.24129056322268,2366.9042424242425,-0.6780126065999258,0.8485724879495736,3.707823507601038e-4,167,0.1993517017828201,0.2965964343598055,0.18451400329489293,0.26730994152046783,453562,10700000,2016
Jake Diekman,794,93.2639798488665,92.6056050955414,2093.0130246020262,1.0474811083123425,1.0371536523929472,0.0012594458438287153,50,0.175,0.2875,0.15286624203821655,0.2743783783783783,518617,1255000,2016
Jake McGee,713,90.67559607293127,89.79928977272728,2242.617816091954,0.6737727910238429,1.27671809256662,0.001402524544179523,30,0.3018867924528302,0.5220125786163522,0.26490066225165565,0.3927586206896551,459429,4800000,2016
James Russell,116,85.87758620689655,84.91100917431193,2175.0849056603774,0.09224137931034483,1.3224137931034483,0.008620689655172414,4,0.42857142857142855,0.7619047619047619,0.35,0.528148148148148,460701,1500000,2016
James Shields,2768,86.46719653179191,87.0589110707804,2200.0889719626166,-0.4764450867052023,0.8435693641618497,3.61271676300578e-4,119,0.27917981072555204,0.501577287066246,0.2396694214876033,0.37949650349650355,448306,21000000,2016
Jared Hughes,816,92.27634803921569,91.79470967741935,2107.9663526244954,-1.2355392156862746,0.6162990196078432,0.0012254901960784314,28,0.285,0.44,0.2676767676767677,0.3590582959641256,453172,2175000,2016
Jason Gurka,155,85.86258064516129,85.34569536423841,2472.265306122449,0.5167741935483872,0.8006451612903226,0.0064516129032258064,7,0.38095238095238093,0.5714285714285714,0.35714285714285715,0.4155555555555556,543261,660000,2016
Jason Motte,476,91.28340336134454,91.18152866242038,2174.9237472766886,-0.3668067226890756,1.1002100840336135,0.0021008403361344537,26,0.28,0.58,0.23157894736842105,0.4032727272727273,435400,5000000,2016
Jason Vargas,209,82.19904306220096,81.64641148325359,2273.1634615384614,0.7947368421052632,1.2320574162679425,0.004784688995215311,11,0.18181818181818182,0.3181818181818182,0.16279069767441862,0.245531914893617,450306,8500000,2016
Jeanmar Gomez,1006,89.0148111332008,89.35383848454636,1900.0704800817161,-1.2835984095427435,0.7161033797216699,9.940357852882703e-4,43,0.2869198312236287,0.4177215189873418,0.2680851063829787,0.3350775193798449,491646,1400000,2016
Jeff Locke,1914,88.98892371995821,87.6117490696438,1885.221505376344,0.8720480668756531,1.1251306165099269,5.224660397074191e-4,67,0.296137339055794,0.4871244635193133,0.26991150442477874,0.37021568627450985,502046,3025000,2016
Jeff Manship,646,87.5233746130031,86.84223602484472,2177.8727915194345,-0.5904024767801858,0.7834365325077399,0.0015479876160990713,29,0.25517241379310346,0.46206896551724136,0.2158273381294964,0.34674846625766875,453249,765000,2016
Jeff Samardzija,2807,91.46726042037763,91.14118279569892,2374.9107876073163,-0.7608122550765942,0.8568222301389383,3.562522265764161e-4,145,0.2548435171385991,0.4262295081967213,0.22699386503067484,0.3171030640668524,502188,10800000,2016
